Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/07 11:44:55 AM GMT+5:30,32,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Rarely,categories,Multiple pages,5,Maybe,Never,Found a better price elsewhere,Rarely,Yes,Never,Yes,5,Yes,1,1,Customer service ,.,819284
2023/06/07 9:28:09 AM GMT+5:30,47,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a month,nan,First page,5,No,Sometimes,High shipping costs,Rarely,Yes,Never,Sometimes,2,Yes,4,4,User-friendly website/app interface,Shipping speed and reliability,599249
2023/06/05 10:09:03 PM GMT+5:30,50,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,Sometimes,Multiple times a day,categories,Multiple pages,1,No,Rarely,others,Never,Yes,Rarely,Sometimes,1,Sometimes,4,2,Customer service ,Reducing packaging waste,432245
2023/06/07 5:58:12 PM GMT+5:30,6,Others,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,No,Rarely,others,Multiple pages,1,Yes,Often,others,Sometimes,No,Heavily,No,2,Yes,4,4,Product recommendations,Irrelevant product suggestions,476517
2023/06/07 11:46:52 AM GMT+5:30,61,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,nan,Multiple pages,5,Yes,Always,Found a better price elsewhere,Always,No,Never,Yes,2,No,3,2,Product recommendations,Shipping speed and reliability,894659
2023/06/08 5:49:56 PM GMT+5:30,14,Prefer not to say,Few times a month,Clothing and Fashion,Sometimes,Few times a month,nan,First page,3,Maybe,Never,High shipping costs,Sometimes,Yes,Rarely,Yes,1,No,5,1,.,.,609504
2023/06/09 2:36:09 PM GMT+5:30,31,Female,Once a week,Clothing and Fashion;others,Yes,Few times a month,categories,First page,3,No,Rarely,High shipping costs,Often,Yes,Rarely,No,4,No,5,3,.,Product quality and accuracy,502692
2023/06/11 9:15:38 PM GMT+5:30,54,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword,Multiple pages,3,Maybe,Never,Found a better price elsewhere,Often,Yes,Occasionally,No,4,Yes,2,2,Product recommendations,Nothing,836059
2023/06/06 6:51:13 PM GMT+5:30,10,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Yes,Few times a month,nan,Multiple pages,2,Yes,Always,Changed my mind or no longer need the item,Rarely,No,Moderately,Sometimes,3,Sometimes,5,1,Competitive prices,Shipping speed and reliability,795705
2023/06/08 5:55:54 PM GMT+5:30,52,Prefer not to say,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Keyword,First page,1,No,Always,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,1,Sometimes,5,4,Customer service ,User interface ,406580
2023/06/05 7:16:40 AM GMT+5:30,20,Prefer not to say,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,others,Multiple pages,5,No,Always,High shipping costs,Sometimes,No,Occasionally,Sometimes,5,Yes,4,2,All the above,Scrolling option would be much better than going to next page,599730
2023/06/07 9:18:29 PM GMT+5:30,61,Female,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,others,First page,4,Yes,Never,Changed my mind or no longer need the item,Sometimes,No,Moderately,No,5,Yes,3,3,Wide product selection,better app interface and lower shipping charges,843528
2023/06/08 3:30:19 AM GMT+5:30,31,Others,Less than once a month,others,No,Rarely,categories,Multiple pages,5,Yes,Sometimes,others,Never,Yes,Rarely,Sometimes,4,Sometimes,2,5,Quick delivery,Product quality and accuracy,618592
2023/06/12 2:41:58 PM GMT+5:30,45,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a month,nan,Multiple pages,4,Yes,Often,Found a better price elsewhere,Often,Yes,Rarely,No,1,No,2,3,.,Product quality and accuracy,485033
2023/06/08 5:49:59 PM GMT+5:30,38,Female,Multiple times a week,Clothing and Fashion;others,Sometimes,Multiple times a day,Filter,First page,4,No,Often,Found a better price elsewhere,Sometimes,Yes,Rarely,No,4,Sometimes,5,2,Competitive prices,Scrolling option would be much better than going to next page,631989
2023/06/08 5:38:57 PM GMT+5:30,9,Female,Once a week,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,others,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Never,Yes,Moderately,Sometimes,5,Yes,1,4,User-friendly website/app interface,No problems with Amazon,871297
